Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Ferrothorn,79,598,grass,steel,107.1,152.7,128,2094247,24.5,1499,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Pachirisu,79,417,electric,none,91.6,157.1,142,2043738,50,1372,Volt Switch,Hyper Fang,Thunder Punch,4,3,5,75000
Weezing,79,110,poison,none,117.6,140.3,116,1912745,25,1500,Rollout,Sludge Bomb,Shadow Ball,4,4,3,50000
Gogoat,78.9,673,grass,none,119.7,95,165,1876484,19.5,1499,Vine Whip,Leaf Blade,Rock Slide,5,6,3,50000
Nidoqueen,78.8,31,poison,ground,116.6,118.5,139,1920313,22.5,1498,Mud Slap,Stone Edge,Poison Fang,6,4,3,50000
Snorlax (Shadow),78.8,143,normal,none,108.4,102.3,187,2073265,17.5,1500,Lick,Body Slam,Superpower,12,14,5,75000
Amoonguss,78.7,591,grass,poison,109.3,105.9,177,2049605,26.5,1498,Astonish,Foul Play,Grass Knot,4,5,3,50000
Lokix,78.7,920,bug,dark,132.9,104.1,122,1686502,24,1499,Sucker Punch,X-Scissor,Trailblaze,6,7,1,50000
Salamence,78.7,373,dragon,flying,143.5,93.1,117,1562473,14.5,1497,Dragon Tail,Fly,Brutal Swing,4,3,5,75000
Furfrou,78.6,676,normal,none,115.5,125.2,134,1937601,26.5,1496,Sucker Punch,Surf,Grass Knot,7,8,5,75000
Kleavor,78.6,900,bug,rock,143.6,104.5,104,1560876,17.5,1500,Fury Cutter,X-Scissor,Rock Slide,10,12,5,75000
Raichu,78.6,26,electric,none,133.6,110.6,114,1684547,25.5,1500,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Bellibolt,78.4,939,electric,none,115.1,110.2,154,1952887,21,1500,Thunder Shock,Zap Cannon,Parabolic Charge,9,6,1,50000
Slowbro (Galarian),78.3,80,poison,psychic,119.1,108.4,146,1884537,22.5,1500,Confusion,Drain Punch,Sludge Bomb,3,4,3,50000
Crawdaunt (Shadow),78.2,342,water,dark,144.7,98.4,109,1551934,22,1498,Waterfall,Night Slash,Scald,4,5,3,50000
Orbeetle,78.2,826,bug,psychic,107.9,168.6,114,2075077,25.5,1496,Psycho Cut,Psyshock,Bug Buzz,5,7,1,10000
Roserade,78.2,407,grass,poison,141.9,114.3,97,1574006,18.5,1499,Poison Sting,Weather Ball (Fire)*,Leaf Storm,4,7,3,50000
Garchomp (Shadow),78.1,445,dragon,ground,132.5,101.5,126,1693583,14,1500,Dragon Tail,Twister,Sand Tomb,4,4,5,75000
Golurk,78.1,623,ground,ghost,133.3,98.5,128,1681024,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Jumpluff,78.1,189,grass,flying,96.7,157,153,2322994,40.5,1499,Fairy Wind,Aerial Ace,Energy Ball,5,7,3,50000
Scolipede,78.1,545,bug,poison,131.8,120.4,107,1697847,22.5,1496,Poison Sting,Aqua Tail,Megahorn,4,7,1,10000
Staravia,78.1,397,normal,flying,131.9,91.6,135,1631281,50,1468,Wing Attack,Brave Bird,Fly,7,6,1,10000
Toedscruel,78,949,ground,grass,108.9,143.5,131,2047453,23,1495,Mud Slap,Seed Bomb,Wrap,4,5,3,50000
Chatot,77.9,441,normal,flying,139.6,78.4,147,1609663,32.5,1499,Peck,Sky Attack,Heat Wave,7,6,5,75000
Ampharos,77.8,181,electric,none,126.8,107.9,129,1766112,19.5,1497,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Armaldo,77.7,348,rock,bug,133.9,109.1,115,1680484,19.5,1500,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Chesnaught (Shadow),77.7,652,grass,fighting,119.4,126.9,124,1878859,19,1497,Low Kick,Frenzy Plant*,Superpower,6,5,3,10000
Ludicolo,77.7,272,water,grass,116.5,123.7,134,1930725,24,1500,Astonish,Weather Ball (Water),Leaf Storm,4,6,3,50000
Magnemite (Shadow),77.7,81,electric,steel,147.8,113.6,90,1511610,49,1496,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Venusaur,77.7,3,grass,poison,122.2,122.2,123,1835969,20.5,1500,Vine Whip,Frenzy Plant*,Sludge,6,5,3,10000
Magneton (Shadow),77.6,82,electric,steel,143.5,114.7,95,1562951,22,1499,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Nidorina,77.6,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Thunderbolt,5,7,3,50000
Trevenant (Shadow),77.6,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Shadow Ball,Foul Play,7,5,5,75000
Ursaring,77.6,217,normal,none,139.6,91.4,126,1607158,18.5,1500,Shadow Claw,Swift,Close Combat,5,6,3,50000
Amoonguss (Shadow),77.5,591,grass,poison,109.3,105.9,177,2049605,26.5,1498,Astonish,Grass Knot,Foul Play,5,4,3,50000
Sneasel (Shadow),77.5,215,dark,ice,134,111.8,111,1661900,27,1497,Ice Shard,Avalanche,Foul Play,5,4,3,50000
Staravia (Shadow),77.5,397,normal,flying,131.9,91.6,135,1631281,50,1468,Wing Attack,Brave Bird,Fly,7,6,1,10000
Venomoth,77.5,49,bug,poison,127,107.6,129,1763077,27,1497,Psywave,Poison Fang,Bug Buzz,10,15,3,50000
Aerodactyl (Shadow),77.4,142,rock,flying,134.4,103.4,120,1667018,20,1497,Dragon Breath,Rock Slide,Earth Power,12,14,5,75000
Graveler (Alolan),77.4,75,rock,electric,121.5,131,116,1845378,30,1499,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Dedenne,77.3,702,electric,fairy,124.4,109,133,1803653,30,1498,Thunder Shock,Discharge,Play Rough,5,7,3,50000
Magnezone (Shadow),77.3,462,electric,steel,134.4,121.2,102,1661074,17,1497,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Raticate (Alolan) (Shadow),77.3,20,dark,normal,107.1,130.2,150,2090786,36.5,1497,Quick Attack,Crunch,Hyper Beam,6,10,1,10000
Vullaby,77.3,629,dark,flying,100.8,129.4,157,2048662,50,1437,Air Slash,Brave Bird,Foul Play,7,5,5,75000
Zygarde (50% Forme),77.3,718,dragon,ground,114.1,128.3,133,1947950,15.5,1494,Dragon Tail,Crunch,Earthquake,4,6,20,100000
Bellossom (Shadow),77.2,182,grass,none,115.1,132.2,128,1947512,24.5,1498,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Escavalier (Shadow),77.2,589,bug,steel,132.2,117.6,108,1679048,19,1495,Bug Bite,Drill Run,Razor Shell*,15,12,3,50000
Kecleon,77.2,352,normal,none,115.6,142.2,118,1939686,27.5,1499,Sucker Punch,Aerial Ace,Ice Beam,7,8,5,75000
Nidoqueen (Shadow),77.2,31,poison,ground,116.6,118.5,139,1920313,22.5,1498,Mud Slap,Stone Edge,Poison Fang,6,4,3,50000
Obstagoon (Shadow),77.2,862,dark,normal,113.2,127.9,137,1985019,21,1500,Counter,Cross Chop,Night Slash,6,6,3,10000
Bibarel,77.1,400,normal,water,123,99.3,149,1818797,31.5,1498,Rollout,Surf,Hyper Fang,4,4,1,10000
Chesnaught,77.1,652,grass,fighting,119.4,126.9,124,1878859,19,1497,Low Kick,Frenzy Plant*,Superpower,6,5,3,10000
Electivire (Shadow),77.1,466,electric,none,143.4,100.9,108,1562263,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Girafarig (Shadow),77.1,203,normal,psychic,130.3,101.6,130,1720655,27.5,1499,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Kartana,77.1,798,grass,steel,169.2,99.3,79,1327757,15,1500,Fury Cutter,Leaf Blade,Sacred Sword,9,9,20,100000
Oinkologne,77.1,916,normal,none,117.7,101.6,159,1900828,21.5,1496,Tackle,Body Slam,Trailblaze,12,15,1,10000
Scyther (Shadow),77.1,123,bug,flying,134.9,109.5,113,1668474,20.5,1500,Fury Cutter,X-Scissor,Night Slash,10,9,5,75000
Bewear,77,760,normal,fighting,129.6,87.2,153,1729276,17.5,1497,Shadow Claw,Superpower,Stomp,5,5,1,10000
Pyroar,77,668,fire,normal,135,98,126,1666684,20,1500,Incinerate,Flame Charge,Dark Pulse,3,3,3,10000
Maushold,76.9,925,normal,none,116.2,122,136,1928003,28.5,1498,Mud Shot,Swift,Crunch,4,5,1,10000
Scolipede (Shadow),76.9,545,bug,poison,131.8,120.4,107,1697847,22.5,1496,Poison Sting,Aqua Tail,X-Scissor,4,5,1,10000
Trevenant,76.9,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Seed Bomb,Shadow Ball,5,7,5,75000
Graveler (Alolan) (Shadow),76.8,75,rock,electric,122.6,129.9,115,1831483,29.5,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Swoobat,76.8,528,psychic,flying,126.7,101.7,138,1777300,34.5,1500,Confusion,Fly,Psychic Fangs,4,3,1,10000
Gabite,76.7,444,dragon,ground,128.8,102.4,132,1741329,30,1499,Mud Shot,Twister,Dig,5,6,5,75000
Magneton,76.7,82,electric,steel,143.5,114.7,95,1562951,22,1499,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Nidorina (Shadow),76.7,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Dig,5,6,3,50000
Snorlax,76.7,143,normal,none,108.4,102.3,187,2073265,17.5,1500,Lick,Body Slam,Superpower,12,14,5,75000
Magnezone,76.6,462,electric,steel,134.4,121.2,102,1661074,17,1497,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Obstagoon,76.6,862,dark,normal,113.2,127.9,137,1985019,21,1500,Counter,Night Slash,Cross Chop,6,6,3,10000
Grimer,76.5,88,poison,none,121,88.2,172,1836323,50,1491,Poison Jab,Sludge,Mud Bomb,6,7,3,50000
Staraptor (Shadow),76.5,398,normal,flying,140.4,90.8,125,1594214,19.5,1496,Wing Attack,Fly,Close Combat,6,6,1,10000
Xatu,76.4,178,psychic,flying,132.2,107.9,119,1698214,25.5,1500,Peck,Psyshock,Aerial Ace,5,6,3,50000
Escavalier,76.3,589,bug,steel,132.2,117.6,108,1679048,19,1495,Bug Bite,Drill Run,Razor Shell*,15,12,3,50000
Bellossom,76.2,182,grass,none,115.1,132.2,128,1947512,24.5,1498,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Bibarel (Shadow),76.2,400,normal,water,123,99.3,149,1818797,31.5,1498,Rollout,Surf,Hyper Fang,4,4,1,10000
Skuntank (Shadow),76.2,435,poison,dark,121.7,95.2,158,1831135,23.5,1493,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Venusaur (Shadow),76.2,3,grass,poison,122.2,122.2,123,1835969,20.5,1500,Vine Whip,Frenzy Plant*,Sludge,6,5,3,10000
Whimsicott,76.2,547,grass,fairy,118.8,135,118,1892000,28,1499,Fairy Wind,Seed Bomb,Moonblast,5,7,1,10000
Ferrothorn (Shadow),76.1,598,grass,steel,107.1,152.7,128,2094247,24.5,1499,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Frosmoth,76.1,873,ice,bug,141.5,101,111,1586766,20.5,1500,Powder Snow,Icy Wind,Bug Buzz,6,8,5,75000
Thundurus (Incarnate) (Shadow),76.1,642,electric,flying,148.1,95.5,107,1513826,16.5,1500,Thunder Shock,Thunder Punch,Brick Break,5,5,20,100000
Claydol (Shadow),75.9,344,ground,psychic,103.6,172.7,121,2164207,29,1500,Mud Slap,Rock Tomb,Shadow Ball,5,5,3,50000
Girafarig,75.8,203,normal,psychic,130.3,101.6,130,1720655,27.5,1499,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Golett (Shadow),75.7,622,ground,ghost,119.3,89.9,141,1512725,50,1344,Astonish,Shadow Punch,Brick Break,4,4,5,75000
Grimer (Shadow),75.7,88,poison,none,122.8,86.9,171,1824029,49,1497,Poison Jab,Sludge,Mud Bomb,6,7,3,50000
Venomoth (Shadow),75.7,49,bug,poison,127,107.6,129,1763077,27,1497,Psywave,Poison Fang,Bug Buzz,10,15,3,50000
Farfetch'd,75.6,83,normal,flying,116.8,109.2,131,1671469,50,1397,Fury Cutter,Leaf Blade,Aerial Ace,9,12,3,50000
Weezing (Shadow),75.6,110,poison,none,117.7,139.5,116,1904809,24.5,1499,Rollout,Sludge Bomb,Shadow Ball,4,4,3,50000
Corvisquire,75.5,822,flying,none,118.1,104.7,153,1892802,49.5,1496,Peck,Sky Attack,Payback,7,8,1,10000
Electrode,75.5,101,electric,none,122.9,126.3,118,1831578,27,1500,Volt Switch,Discharge,Foul Play,3,3,3,50000
Electivire,75.4,466,electric,none,143.4,100.9,108,1562263,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Kilowattrel,75.4,941,electric,flying,143.2,92.5,118,1563295,22.5,1499,Thunder Shock,Acrobatics,Aerial Ace,7,5,1,10000
Magnemite,75.4,81,electric,steel,147.8,113.6,90,1511610,49,1496,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Sandshrew,75.4,27,ground,none,118.5,113.4,127,1706968,50,1426,Sand Attack,Sand Tomb,Rock Tomb*,10,13,3,50000
Crawdaunt,75.3,342,water,dark,144.7,98.4,109,1551934,22,1498,Waterfall,Night Slash,Scald,4,5,3,50000
Buneary,75.2,427,normal,none,121.8,100.8,135,1658639,50,1423,Quick Attack,Swift,Fire Punch,5,5,3,50000
Sandygast,75.2,769,ghost,ground,113.4,111.8,135,1711543,50,1394,Astonish,Shadow Ball,Sand Tomb,5,4,3,50000
Vibrava (Shadow),75.2,329,ground,dragon,125.2,95.8,127,1523223,50,1384,Dragon Breath,Sand Tomb,Bug Buzz,10,15,5,75000
Haunter (Shadow),75.1,93,ghost,poison,161.2,85.5,101,1392317,28,1498,Shadow Claw,Ice Punch,Shadow Ball,5,7,3,50000
Revavroom,75.1,966,steel,poison,135.7,102.5,119,1654542,19,1500,Metal Sound,Overheat,Gyro Ball,7,7,3,50000
Sneasler,75.1,903,fighting,poison,145.4,94.7,112,1542861,17,1500,Shadow Claw,Close Combat,X-Scissor,6,5,5,75000
Sneasler (Shadow),75.1,903,fighting,poison,145.4,94.7,112,1542861,17,1500,Shadow Claw,Close Combat,X-Scissor,6,5,5,75000
Thundurus (Incarnate),75.1,642,electric,flying,148.1,95.5,107,1513826,16.5,1500,Thunder Shock,Thunder Punch,Brick Break,5,5,20,100000
Moltres (Shadow),75,146,fire,flying,139.9,102,112,1598740,15.5,1499,Wing Attack,Fly,Heat Wave,6,6,20,100000
Muk,75,89,poison,none,115.9,111.7,148,1916176,20,1491,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Staraptor,75,398,normal,flying,140.4,90.8,125,1594214,19.5,1496,Wing Attack,Fly,Close Combat,6,6,1,10000
Swellow,75,277,normal,flying,136,100,121,1645136,29,1499,Wing Attack,Brave Bird,Aerial Ace,7,6,1,10000
Haunter,74.9,93,ghost,poison,161.2,85.5,101,1392317,28,1498,Shadow Claw,Shadow Punch,Ice Punch,5,5,3,50000
Vibrava,74.9,329,ground,dragon,125.2,95.8,127,1523223,50,1384,Dragon Breath,Sand Tomb,Bug Buzz,10,15,5,75000
Flapple,74.8,841,grass,dragon,138.1,100.1,117,1618070,22.5,1500,Dragon Breath,Seed Bomb,Dragon Pulse,10,14,5,75000
Kangaskhan,74.8,115,normal,none,114.6,110.9,153,1943857,21.5,1495,Low Kick,Brick Break*,Crunch,5,6,3,50000
Kricketune,74.8,402,bug,none,127.7,89.6,153,1750786,38,1497,Fury Cutter,X-Scissor,Aerial Ace,10,12,1,10000
Vikavolt,74.8,738,bug,electric,144.2,96.7,111,1547210,17.5,1494,Volt Switch*,X-Scissor,Fly,3,3,1,10000
Vikavolt (Shadow),74.8,738,bug,electric,144.2,96.7,111,1547210,17.5,1494,Volt Switch*,X-Scissor,Discharge,3,3,1,10000
Gengar (Shadow),74.7,94,ghost,poison,154.3,95.5,98,1444036,19,1495,Shadow Claw,Shadow Punch*,Shadow Ball,5,7,3,50000
Ho-Oh,74.6,250,fire,flying,123,128.5,114,1800807,14,1491,Incinerate,Brave Bird,Earthquake*,3,4,20,100000
Togedemaru,74.6,777,electric,steel,132.2,107.3,120,1701782,25.5,1500,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Tropius,74.6,357,grass,flying,101.4,128.1,170,2208146,29,1498,Air Slash,Leaf Blade,Brutal Swing,4,4,5,75000
Beedrill,74.5,15,bug,poison,127.1,106.5,130,1760459,30.5,1500,Poison Sting,X-Scissor,Drill Run*,5,5,1,10000
Beedrill (Shadow),74.5,15,bug,poison,127.1,106.5,130,1760459,30.5,1500,Poison Sting,X-Scissor,Drill Run*,5,5,1,10000
Grimer (Alolan),74.5,88,poison,dark,122.8,86.9,171,1824029,49,1497,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Sneasel,74.5,215,dark,ice,134,111.8,111,1661900,27,1497,Ice Shard,Avalanche,Foul Play,5,4,3,50000
Zangoose,74.5,335,normal,none,144.8,87.8,122,1550367,23,1500,Fury Cutter,Close Combat,Night Slash,12,9,3,50000
Gabite (Shadow),74.4,444,dragon,ground,128.8,102.4,132,1741329,30,1499,Mud Shot,Twister,Dig,5,6,5,75000
Landorus (Incarnate),74.4,645,ground,flying,140.2,100.9,113,1598546,15,1499,Mud Shot,Rock Slide,Earth Power,5,7,20,100000
Moltres,74.4,146,fire,flying,136.8,103.7,115,1630791,16,1499,Wing Attack,Fly,Heat Wave,6,6,20,100000
Palpitoad,74.4,536,water,ground,116.2,103,161,1926840,48,1500,Mud Shot,Water Pulse,Earth Power,6,7,3,50000
Donphan (Shadow),74.3,232,ground,none,125.3,113.2,126,1786397,18.5,1498,Mud Slap,Body Slam,Trailblaze,4,5,3,50000
Electrode (Hisuian),74.3,101,electric,grass,123.3,128.7,115,1825336,26,1500,Thunder Shock,Wild Charge,Swift,5,4,3,50000
Articuno (Galarian),74.2,144,psychic,flying,134.1,111,112,1666929,15.5,1495,Psycho Cut,Fly,Brave Bird,5,7,20,100000
Sceptile (Shadow),74.2,254,grass,none,135.6,109.3,111,1645623,20,1498,Fury Cutter,Leaf Blade,Breaking Swipe,9,13,3,10000
Sandshrew (Shadow),74,27,ground,none,118.5,113.4,127,1706968,50,1426,Sand Attack,Sand Tomb,Rock Tomb*,10,13,3,50000
Wormadam (Sandy),74,413,bug,ground,110,144.9,128,2040195,34.5,1499,Sucker Punch,Bug Buzz,Bulldoze,9,7,1,10000
Durant,73.9,632,bug,steel,135.3,122.4,100,1656336,21,1499,Bug Bite,X-Scissor,Stone Edge,14,19,3,50000
Golem (Alolan) (Shadow),73.9,76,rock,electric,125.2,122.3,117,1791042,19,1497,Volt Switch,Wild Charge,Rock Blast,3,3,1,10000
Lugia (Shadow),73.9,249,psychic,flying,104.3,164.3,124,2124734,14.5,1492,Dragon Tail,Fly,Aeroblast*,4,7,20,100000
Pumpkaboo (Super),73.9,710,ghost,grass,111.8,113.4,141,1787612,50,1414,Astonish,Foul Play,Grass Knot,4,5,5,75000
Toxtricity,73.9,849,electric,poison,141.2,95.4,118,1589592,21.5,1500,Acid,Wild Charge,Power-Up Punch,6,5,5,75000
Pinsir (Shadow),73.8,127,bug,none,139.6,112.6,102,1603789,18.5,1498,Fury Cutter,Close Combat,X-Scissor,12,10,5,75000
Drifloon,73.7,425,ghost,flying,110.9,79.8,186,1646946,50,1353,Hex,Shadow Ball,Icy Wind,4,4,5,75000
Chansey,73.6,113,normal,none,63,120.2,421,3188219,50,1418,Zen Headbutt,Dazzling Gleam,Psychic,10,10,5,75000
Dipplin,73.6,1011,grass,dragon,114.6,128.9,132,1949793,23.5,1499,Dragon Tail,Seed Bomb,Outrage,4,5,5,75000
Donphan,73.6,232,ground,none,125.3,113.2,126,1786397,18.5,1498,Mud Slap,Body Slam,Trailblaze,4,5,3,50000
Golett,73.6,622,ground,ghost,119.3,89.9,141,1512725,50,1344,Astonish,Shadow Punch,Brick Break,4,4,5,75000
Ledian,73.6,166,bug,flying,101.4,162.5,134,2207885,49.5,1496,Bug Bite,Dynamic Punch,Aerial Ace,15,15,1,10000
Sceptile,73.6,254,grass,none,135.6,109.3,111,1645623,20,1498,Fury Cutter,Leaf Blade,Breaking Swipe,9,13,3,10000
Golem (Alolan),73.5,76,rock,electric,125.2,122.3,117,1791042,19,1497,Volt Switch,Wild Charge,Rock Blast,3,3,1,10000
Sneasel (Hisuian) (Shadow),73.4,215,fighting,poison,134,111.8,111,1661900,27,1497,Poison Jab,Close Combat,X-Scissor,7,6,3,50000
Linoone (Galarian) (Shadow),73.2,264,dark,normal,114.1,111.8,154,1965124,38.5,1497,Snarl,Body Slam,Dig,3,4,1,10000
Ariados,73,168,bug,poison,124.2,103.9,140,1806211,33.5,1497,Poison Sting,Lunge,Trailblaze,5,5,1,10000
Electrode (Shadow),73,101,electric,none,122.9,126.3,118,1831578,27,1500,Volt Switch,Discharge,Foul Play,3,3,3,50000
Absol (Shadow),72.9,359,dark,none,156.6,84,109,1433529,22,1498,Psycho Cut,Brutal Swing*,Megahorn,4,7,5,75000
Dhelmise,72.9,781,ghost,grass,139.8,109.3,105,1604674,20,1498,Shadow Claw,Power Whip,Brutal Swing,7,5,5,50000
Muk (Shadow),72.9,89,poison,none,115.9,111.7,148,1916176,20,1491,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Shiftry (Shadow),72.9,275,grass,dark,133.4,88.1,143,1680081,23.5,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Galvantula,72.7,596,bug,electric,138.3,96.5,122,1627493,25.5,1500,Volt Switch,Discharge,Lunge,3,3,3,50000
Golem,72.7,76,rock,ground,125.2,122.3,117,1791042,19,1497,Mud Slap,Stone Edge,Rock Blast,6,4,1,10000
Golem (Shadow),72.7,76,rock,ground,125.2,122.3,117,1791042,19,1497,Mud Slap,Stone Edge,Rock Blast,6,4,1,10000
Scyther,72.7,123,bug,flying,134.9,109.5,113,1668474,20.5,1500,Fury Cutter,X-Scissor,Night Slash,10,9,5,75000
Shiinotic,72.7,756,grass,fairy,116.6,134.3,123,1925196,31,1499,Astonish,Seed Bomb,Moonblast,4,6,3,50000
Buzzwole,72.6,794,bug,fighting,128.2,111.7,122,1747334,16,1499,Counter,Superpower,Lunge,7,8,20,100000
Drifloon (Shadow),72.6,425,ghost,flying,110.9,79.8,186,1646946,50,1353,Hex,Shadow Ball,Icy Wind,4,4,5,75000
Nidoking (Shadow),72.6,34,poison,ground,129.5,105.3,127,1731199,21.5,1500,Fury Cutter*,Sand Tomb,Megahorn,10,14,3,50000
Mantyke,72.5,458,water,flying,100.8,163,120,1972572,50,1411,Bubble,Water Pulse,Aerial Ace,5,5,5,10000
Rhyperior,72.5,464,ground,rock,126.8,104.5,134,1775272,15,1500,Mud Slap,Breaking Swipe,Rock Wrecker*,5,5,3,50000
Zoroark (Hisuian),72.5,571,normal,ghost,163.4,87.5,96,1373550,21,1499,Shadow Claw,Shadow Ball,Foul Play,7,5,5,75000
Pidgeotto (Shadow),72.4,17,normal,flying,110.9,100.8,147,1644149,50,1350,Wing Attack,Air Cutter,Twister,5,5,1,10000
Pinsir,72.4,127,bug,none,139.6,112.6,102,1603789,18.5,1498,Fury Cutter,Close Combat,X-Scissor,12,10,5,75000
Mudsdale,72.3,750,ground,none,123.6,107.1,136,1799895,18,1491,Mud Slap,Body Slam,Earthquake,4,7,3,50000
Pumpkaboo (Large),72.3,710,ghost,grass,113.4,115.1,133,1736900,50,1406,Astonish,Foul Play,Grass Knot,4,5,5,75000
Nidoking,72.2,34,poison,ground,129.5,105.3,127,1731199,21.5,1500,Fury Cutter*,Sand Tomb,Megahorn,10,14,3,50000
Zapdos (Galarian),72.2,145,fighting,flying,135.7,107.3,113,1645148,15.5,1498,Counter,Fly,Brave Bird,8,10,20,100000
Gengar,72.1,94,ghost,poison,154.3,95.5,98,1444036,19,1495,Shadow Claw,Shadow Punch*,Shadow Ball,5,7,3,50000
Geodude (Alolan),72,74,rock,electric,123.5,123.5,113,1724177,50,1462,Volt Switch,Rock Tomb,Rock Slide,4,3,1,10000
Linoone (Galarian),72,264,dark,normal,114.1,111.8,154,1965124,38.5,1497,Snarl,Body Slam,Dig,3,4,1,10000
Lurantis,72,754,grass,none,126.2,117.9,119,1770422,23,1495,Leafage,Leaf Blade,Superpower,5,5,3,50000
Serperior,72,497,grass,none,110.2,142.3,130,2038328,25,1500,Vine Whip,Frenzy Plant*,Aerial Ace,6,6,3,10000
Zebstrika,72,523,electric,none,137.7,95.5,124,1630392,23,1500,Low Kick,Wild Charge,Flame Charge,6,7,3,50000
Raichu (Alolan),71.8,26,electric,psychic,135.5,109.9,111,1653242,24,1498,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Grimer (Alolan) (Shadow),71.7,88,poison,dark,122.8,86.9,171,1824029,49,1497,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Houndour (Shadow),71.7,228,dark,fire,140.3,82.3,120,1386732,50,1395,Ember,Crunch,Flamethrower,5,7,3,50000
Ledian (Shadow),71.7,166,bug,flying,101.4,162.5,134,2207885,49.5,1496,Bug Bite,Dynamic Punch,Aerial Ace,15,15,1,10000
Cacturne,71.6,332,grass,dark,147.2,85.1,121,1515811,24,1498,Sucker Punch,Trailblaze,Dynamic Punch,7,7,3,50000
Geodude (Alolan) (Shadow),71.6,74,rock,electric,123.5,123.5,113,1724177,50,1462,Volt Switch,Rock Tomb,Rock Slide,4,3,1,10000
Bisharp,71.5,625,dark,steel,139.8,109.7,105,1610607,19.5,1500,Snarl,Dark Pulse,X-Scissor,4,4,5,75000
Galvantula (Shadow),71.5,596,bug,electric,138.3,96.5,122,1627493,25.5,1500,Volt Switch,Discharge,Lunge,3,3,3,50000
Meganium,71.5,154,grass,none,110.8,139,131,2018472,23,1497,Vine Whip,Frenzy Plant*,Earthquake,6,9,3,10000
Torterra,71.5,389,grass,ground,119.9,117,133,1867141,19,1498,Mud Slap,Frenzy Plant*,Sand Tomb,5,4,3,10000
Muk (Alolan),71.4,89,poison,dark,115.9,111.7,148,1916176,20,1491,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Aipom (Shadow),71.3,190,normal,none,124.4,106.7,135,1791711,50,1494,Astonish,Swift,Aerial Ace,4,5,3,50000
Sneasel (Hisuian),71.3,215,fighting,poison,134,111.8,111,1661900,27,1497,Poison Jab,Close Combat,X-Scissor,7,6,3,50000
Aipom,71.2,190,normal,none,124.4,106.7,135,1791711,50,1494,Astonish,Swift,Aerial Ace,4,5,3,50000
Ho-Oh (Shadow),71.2,250,fire,flying,123.5,126.5,113,1764371,14,1482,Incinerate,Brave Bird,Earthquake*,3,4,20,100000
Hydrapple,71,1019,grass,dragon,122.3,110.7,136,1841044,17,1500,Dragon Tail,Seed Bomb,Outrage,4,5,5,75000
Bouffalant,70.9,626,normal,none,118.9,115.9,137,1887582,20,1500,Mud Shot,Stomp,Megahorn,5,7,3,50000
Eelektrik,70.9,603,electric,none,122.3,110.1,136,1831304,35.5,1497,Acid,Discharge,Crunch,5,6,1,10000
Honchkrow,70.9,430,dark,flying,150,68.9,145,1499623,20.5,1500,Peck,Brave Bird,Dark Pulse,7,7,3,50000
Pidgeotto,70.9,17,normal,flying,110.9,100.8,147,1644149,50,1350,Wing Attack,Air Cutter,Twister,5,5,1,10000
Servine,70.8,496,grass,none,105.9,140.3,142,2109814,50,1494,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Parasect,70.7,47,bug,grass,124.2,118.3,123,1806701,30.5,1500,Fury Cutter,X-Scissor,Cross Poison,10,9,3,50000
